nombre,pais,lat,lon,region,tipo,fuente,descripcion
Cutimbo,Perú,-16.0236,-70.1008,Andes,chullpa,Investigación adicional,Torres funerarias colla e inca con mampostería poligonal almohadillada y relieves de pumas y serpientes; sitio hermano de Sillustani al sur de Puno.
Qenqo,Perú,-13.5089,-71.9717,Andes,roca tallada,Investigación adicional,Santuario inca tallado en un bloque de piedra viva cerca de Sacsayhuamán; canales, nichos y posible altar sacrificial.
Kuelap,Perú,-6.4372,-77.9236,Amazonía andina,fortaleza de piedra,Investigación adicional,Muralla chachapoya de 20 m de alto y 600 m de largo en Amazonas; más de 400 estructuras circulares de piedra.
Raqchi,Perú,-14.1744,-71.3697,Andes,templo de piedra,Investigación adicional,Templo de Wiracocha con muros de piedra y adobe de hasta 12 m; uno de los mayores recintos incas del Cusco.
Machu Picchu,Perú,-13.1631,-72.5450,Andes,ciudad de piedra,Investigación adicional,Ciudad inca con muros poligonales, Intihuatana y terrazas; Patrimonio UNESCO y ejemplo clásico de cantería andina.
Moray,Perú,-13.3294,-72.1964,Andes,círculos de piedra,Investigación adicional,Terrazas concéntricas excavadas usadas como laboratorio agrícola inca; microclimas en anillos de piedra y tierra.
Inca Uyo,Perú,-15.7650,-69.6840,Andes,círculo de piedras,Investigación adicional,Recinto de monólitos fálicos junto al Titicaca en Chucuito; interpretado como templo de fertilidad inca o preinca.
Sechín Alto,Perú,-9.4583,-78.2347,Andes,plataforma monumental,Investigación adicional,La mayor plataforma del valle de Casma; montículo de 250 x 300 m y 35 m de alto de la cultura Sechín/Casma.
Alto de los Ídolos,Colombia,1.9500,-76.2167,Andes,estatuas monolíticas,Investigación adicional,Parque de Isnos con la estatua más alta de San Agustín (7 m); tumbas dolménicas y sarcófagos de piedra.
Alto de las Piedras,Colombia,1.9800,-76.2300,Andes,estatuas monolíticas,Investigación adicional,Sitio de Isnos con la estatua Doble Yo; parte del complejo megalítico funerario de San Agustín.
Los Ajos,Uruguay,-33.7000,-54.3500,Sur,cerrito,Investigación adicional,Complejo de cerritos en herradura alrededor de un espacio comunal; uno de los sitios de montículos mejor estudiados de Rocha.
Estancia Mal Abrigo,Uruguay,-33.8500,-54.2000,Sur,cerrito,Investigación adicional,Conjunto de 66 montículos de tierra en India Muerta; planificación geométrica de aldeas de constructores de cerritos.
Esferas de Diquís Finca 6,Costa Rica,8.9114,-83.4775,Centroamérica,esfera de piedra,Investigación adicional,Más de 300 esferas de gabro de hasta 2.66 m y 15-26 t; cultura Diquís 500-1500 d.C. Patrimonio UNESCO.
Copán estelas,Honduras,14.8375,-89.1422,Centroamérica,estela megalítica,Investigación adicional,Estelas mayas de hasta 4 m con retratos de gobernantes y la Escalera Jeroglífica; apogeo 400-800 d.C.
Quiriguá,Guatemala,15.2694,-89.0403,Centroamérica,estela megalítica,Investigación adicional,Estela E de 10.6 m la más alta del mundo maya; zoomorfos monolíticos del clásico tardío.
Tikal Templo I,Guatemala,17.2220,-89.6237,Centroamérica,pirámide de piedra,Investigación adicional,Templo del Gran Jaguar de 47 m; ciudad maya con estelas y altares en plazas ceremoniales.
El Caño,Panamá,8.3333,-80.5167,Centroamérica,menhires,Investigación adicional,Línea de monolitos junto a túmulos funerarios de la cultura Coclé; 700-1000 d.C. en el río Grande.
Barriles,Panamá,8.6333,-82.7000,Centroamérica,estatuas de piedra,Investigación adicional,Centro ceremonial chiriquí con barriles líticos y esculturas antropomorfas sobre montículos de cantos.
Cahokia Monks Mound,Estados Unidos,38.6608,-90.0620,Norteamérica,montículo,Investigación adicional,Mayor montículo precolombino al norte de México; 30 m de alto y 6.6 ha. Ciudad misisipiana 950-1350 d.C. UNESCO.
Poverty Point,Estados Unidos,32.6368,-91.4075,Norteamérica,montículo,Investigación adicional,Crestas concéntricas y Mound A de 22 m construidos hacia 1700-1100 a.C. por cazadores-recolectores. UNESCO.
Bighorn Medicine Wheel,Estados Unidos,44.8264,-107.9217,Norteamérica,círculo de piedras,Investigación adicional,Rueda de medicina de 25 m con radios alineados a solsticios y estrellas; sitio sagrado de las Llanuras.
America's Stonehenge,Estados Unidos,42.8436,-71.2078,Norteamérica,círculo de piedras,Investigación adicional,Complejo de muros y cámaras de piedra en Salem NH; datación y origen colonial vs. prehistórico muy debatidos.
Serpent Mound,Estados Unidos,39.0258,-83.4303,Norteamérica,geoglifo de tierra,Investigación adicional,Efigie de serpiente de 411 m en Ohio; construida por culturas Adena o Fort Ancient.
Chaco Canyon Pueblo Bonito,Estados Unidos,36.0608,-107.9606,Norteamérica,gran casa de piedra,Investigación adicional,Gran casa anasazi de 800 habitaciones con muros de sillería; alineaciones solares y red de caminos. UNESCO.
Peterborough Petroglyphs,Canadá,44.6152,-78.0408,Norteamérica,petroglifo,Investigación adicional,Más de 900 grabados algonquinos en caliza; Kinoomaagewaapkong las rocas que enseñan 900-1400 d.C.
Petroforms de Whiteshell,Canadá,50.1333,-95.6667,Norteamérica,petroform,Investigación adicional,Figuras de serpientes tortugas y círculos formados con cantos en crestas de granito; sitios ceremoniales anishinaabe.
Inuksuk de Foxe Peninsula,Canadá,64.8000,-77.0000,Ártico,inuksuk,Investigación adicional,Hitos de piedra inuit usados como marcadores de ruta caza y ritual; tradición megalítica viva del Ártico.
