nombre,pais,lat,lon,region,tipo,fuente,descripcion
Cumbemayo,Perú,-7.1833,-78.5833,Andes,acueducto tallado,Investigación adicional,Acueducto de 9 km tallado en toba volcánica cerca de Cajamarca; petroglifos y canales en zigzag de tradición Cajamarca preinca.
Choquequirao,Perú,-13.3928,-72.8736,Andes,ciudad de piedra,Investigación adicional,Ciudad inca de terrazas y muros de piedra sobre el Apurímac; considerada hermana de Machu Picchu.
Písac,Perú,-13.4192,-71.8461,Andes,muro poligonal,Investigación adicional,Fortaleza y recinto ceremonial inca con andenes y mampostería fina sobre el valle sagrado.
Karajía,Perú,-6.1631,-77.9986,Amazonía andina,sarcófago de piedra,Investigación adicional,Sarcófagos antropomorfos chachapoya de 2.5 m emplazados en un acantilado del Utcubamba.
Callacpuma,Perú,-7.1500,-78.5167,Andes,plaza megalítica,Investigación adicional,Plaza circular de 18 m con megalitos hincados; datada circa 2750 a.C. en la cuenca de Cajamarca.
Huánuco Pampa,Perú,-9.8667,-76.8167,Andes,ushnu de piedra,Investigación adicional,Centro administrativo inca con ushnu de piedra y plaza de 550 m; cantería estatal en la puna de Huánuco.
Tierradentro,Colombia,2.5833,-76.0333,Andes,hipogeo,Investigación adicional,Hipogeos funerarios de hasta 12 m de ancho con columnas y pintura mural; UNESCO junto a estatuas en El Tablón.
Ciudad Perdida Teyuna,Colombia,11.0380,-73.9252,Sierra Nevada,ciudad de piedra,Investigación adicional,Ciudad tairona con 169 terrazas de piedra y 1200 escalones; fundada hacia 800 d.C.
Piedras del Tunjo,Colombia,4.8167,-74.3667,Andes,petroglifo,Investigación adicional,Afloramientos de arenisca con cientos de petroglifos muisca en Facatativá.
Chamangá,Uruguay,-33.5667,-56.7833,Sur,petroglifo,Investigación adicional,Más de 40 afloramientos grabados en Flores; conjunto denso de arte rupestre del interior uruguayo.
Esferas de Diquís El Silencio,Costa Rica,8.9000,-83.4000,Centroamérica,esfera de piedra,Investigación adicional,Sitio Diquís con la esfera individual más grande hallada in situ; bien UNESCO.
Esferas de Diquís Batambal,Costa Rica,8.9700,-83.4800,Centroamérica,esfera de piedra,Investigación adicional,Asentamiento de jefatura con esferas y montículos; componente UNESCO del Delta del Diquís.
Takalik Abaj,Guatemala,14.6464,-91.7333,Centroamérica,estela megalítica,Investigación adicional,Centro olmeca-maya con estelas y altares de piedra en la costa del Pacífico.
Tazumal,El Salvador,13.9794,-89.6742,Centroamérica,pirámide de piedra,Investigación adicional,El mayor complejo maya de El Salvador; plataformas de piedra tumbas y estelas en Chalchuapa.
Newark Earthworks,Estados Unidos,40.0411,-82.4461,Norteamérica,recinto de tierra,Investigación adicional,El mayor complejo geométrico Hopewell; círculo-octágono alineado a lunaciones. UNESCO 2023.
Moundville,Estados Unidos,33.2206,-87.6308,Norteamérica,montículo,Investigación adicional,Segundo mayor centro misisipiano; 29 montículos de plataforma en torno a una plaza.
Grave Creek Mound,Estados Unidos,39.9169,-80.7444,Norteamérica,túmulo,Investigación adicional,Túmulo Adena de 21 m de alto en Moundsville West Virginia.
Majorville Medicine Wheel,Canadá,50.5853,-112.4100,Norteamérica,círculo de piedras,Investigación adicional,Rueda de medicina con cairn central en Alberta; uso ceremonial de más de 4500 años.
Writing-on-Stone,Canadá,49.0822,-111.6169,Norteamérica,petroglifo,Investigación adicional,Áísínai’pi: miles de grabados y pictografías niitsitapi en el Milk River. UNESCO.
Petroforms de Bannock Point,Canadá,50.1700,-95.8700,Norteamérica,petroform,Investigación adicional,Figuras de tortuga y geometrías de cantos en Whiteshell; sitio ceremonial anishinaabe.
